value1,value2,value3
107.45071229516849,35.84629257949586,210.73362081044849
97.92603548243223,45.79354677234641,216.82353579104702
109.71532807151038,46.572854834732304,232.4915372952583
122.84544784612038,41.97722730778381,231.6140615610471
96.48769937914996,48.387142883339905,158.66991896128727
500,54.040508568145384,171.86524880254632
123.68819223261087,68.86185901,215.4510580162598
111.51152093729362,51.74577812831839,215.41357852736627
92.95788421097572,52.57550390722764,215.45143058918143
108.13840065378947,49.25554084233833,315.5819447196416
93.04873460781306,30.812287847009586,217.1267153
93.01405369644614,49.73486124550783,234.06696920541796
103.62943407349051,50.60230209941027,228.62005290479607
71.30079633013304,74.63242112485287,219.54173753917394
74.12623251230451,48.076390352188774,190.54192266078962
91.56568706,-100,222.76907661479802
84.80753319498365,49.65288230294757,176.81524356387285
104.71370998892911,38.31321962380468,192.89544179779972
86.37963886718184,61.42822814515021,185.43909356512688
78.81544447997062,57.519330326867745,202.45622418158968
121.98473153382331,57.910319470430466,269.43975700020525
96.61335549270197,40.906125452052606,143.98204422224757
101.01292307031886,64.02794310936099,220.5878057112354
78.62877720679815,35.98148937207719,151.61852386431045
91.83425913212226,55.868570938002705,185.84204402631698
101.66383884564799,71.90455625809979,1000
82.73509633866546,40.09463674869312,201.9284005728639
105.63547027518509,44.33702270397228,167.6676566621208
90.99041965121792,50.99651365087641,178.54088872220095
95.62459375310085,44.96524345883801,220.38793246804028
90.97440081655904,34.493365689338674,178.0890010484859
127.78417276763406,50.68562974806027,206.49375768745924
99.79754162893099,39.37696286273895,201.3671551971144
84.13433607,54.73592430635182,180.4519895718255
112.33817368154783,40.80575765766197,264.3183226797598
81.68734525043467,65.49934405,219.01757066954033
103.13295392507133,42.16746707663763,139.2457224002718
70.60494814180336,46.77938483794324,205.59362944308282
80.07720926652354,58.135172173696695,180.14640605694836
102.95291853803685,37.69135683566045,225.5730000438867
111.07699869993115,52.27459934604129,176.22437784701899
102.57052421784955,63.07142754282428,196.55790675599303
98.26527576,33.92516765438772,215.1496183694137
95.48344456616067,51.84633858532304,225.97265582510363
77.82217014448858,52.598827942484235,163.9911077883267
89.20233687407936,57.81822872,189.96496292477156
93.09041843560318,37.63049289121918,185.75164066517132
115.85683339328374,36.795433869157236,180.40012302278865
105.15427434352692,55.21941565616898,252.9636272084329
73.55439767,52.96984673233186,212.14945132882866
104.86125954092192,52.504928503458764,162.17348136994866
94.22376579375525,53.46448209496975,227.5358584116433
89.84616999541062,43.19975278421509,263.6646859
109.17514433261302,52.322536971610035,230.9739578165344
115.46499283743927,52.93072473298681,154.4189010213796
113.96920178674299,42.85648581973632,185.47297781401247
87.41173715166042,68.65774511144757,238.00733447559867
95.36181436223178,54.73832920911788,178.76991603143657
104.96895147105346,38.08696502797351,213.31458284438685
114.63317690683539,56.56553609,223.23902160288011
92.81238643232065,40.253183297726785,172.1920858526575
97.21511535004274,57.87084603742452,198.21423931814599
83.40497538990958,61.58595579007404,102.76197979792782
82.05690063878994,41.79317682,169.2683707599713
112.18788733591298,59.63376129244322,192.4229554582052
120.34360042856234,54.12780926936498,162.5665045410545
98.91984817629499,58.2206016,248.97233911794905
115.05299346838036,68.96792982653947,157.09575866118104
105.42454037571451,47.54611883997129,186.79866539909048
90.32320368092314,42.46263836,203.92221731858274
105.4209340826262,41.10485570374477,243.23819867198347
123.07054849698955,41.841897150345616,156.92413546461682
99.46260941335073,49.228982905858956,234.8949125646488
123.4696548372101,53.41151974816644,200.3069918305876
60.703823438653835,52.766907993300194,170.55474046856148
112.32853756562835,58.27183249036024,213.86310422789813
101.30570602357257,50.13001891877907,205.9717908672041
95.51488974301199,64.53534077157317,181.99349368523616
101.37641164803253,47.35343166762044,202.09406254970057
70.18646628098661,77.20169166589619,188.4405920941472
96.70492168243732,56.25667347765006,203.40552035753745
105.35668857267619,41.42842443583717,219.8639202356314
122.16841067112274,39.29107501938888,247.58050448436057
92.22594672589528,54.824724152431855,162.8655350351945
87.87259595660218,47.76537214674149,263.9910012
92.47364434623195,57.14000494092092,141.43736601432494
113.73103176553111,54.73237624573545,195.4464471489325
104.93126664489526,49.271710873431275,217.64951619453728
92.05359694349441,41.532062819315954,208.429756
107.69901149670034,34.851527753141355,181.31901440538218
101.4561632402206,45.53485047932979,193.75633248928173
114.52967485799334,58.56398794323472,185.209972
89.46920359183972,52.14093744130204,182.31905729167366
95.08506780103347,37.542612212880115,225.48806291063073
94.11837770301764,51.73180925851182,210.71046457895142
78.04727577801822,53.85317379728837,179.21271214218038
104.44180415596864,41.16142563798867,226.9879962629975
103.91582908269834,51.53725105945528,209.2189856262983
100.07670184963692,50.58208718,224.3858635651688
96.481193,38.57029702169377,218.88886525770837
